"id","collection_id","status","action","type","created_at","last_updated_at","alias","user_id"
"2aa78f0d-eb76-4ef8-b8ab-51d5570c3c3a","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"2aec84a3-40dc-42cd-9869-b9d70bc4efe2","1f7f2587-e2f4-410e-bfc8-c511ae9c70b2","init","start","coach-ia","2024-07-30 14:12:01","2024-07-30 14:12:28","Catchphrase améliorée",NULL
"2bbeef58-3fad-421e-bff4-cb566360e298","51f3b580-a9bf-476c-99c0-6861116ea65e","init","start","chat-with-data",NULL,NULL,NULL,NULL
"2bdb9ba5-2b12-4c56-a3b1-34dc8c5cb203","87ace397-7564-4208-bc0d-08cbafe48a31","init","start","chat-with-data",NULL,NULL,NULL,NULL
"2cb3d5c7-81af-46a6-8d0f-d89e26fc6c37","8e25e971-1f28-42d9-8597-974eb10fb93a","init","start","coach-ia","2024-06-26 08:52:49","2024-06-26 08:52:49",NULL,NULL
"2d62ee81-d096-4035-a3bc-962f468178a8","178a64b2-0600-480b-b696-9fb8a8c067d9","init","start","coach-ia","2024-07-16 16:32:22","2024-07-16 16:32:47","Formation sur le développement des soft skills des",NULL
"2df17731-86df-4b4b-ac49-81e5e76803fb","8cda0810-4230-4305-8892-41c7d2a51f0c","init","start","chat-with-data","2024-07-10 15:43:59","2024-07-10 15:44:06",NULL,NULL
"2e120748-66cb-4032-97e5-160827052ad0","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"2ede7288-cb77-4a8d-bac5-19f54a76d66e","f305cd38-9b5c-4b78-b39e-aad0d26a78c9","init","start","chat-with-data","2024-08-02 09:14:54","2024-08-02 14:53:13","Préavis à Madagascar",NULL
"2f2820a8-b88f-4057-ade8-e527bbace6d0","5d395519-c82e-462a-b38c-42ef69b22473","init","start","chat-with-data","2024-07-08 14:42:53","2024-07-08 14:51:05",NULL,NULL
"2f7f175b-1afb-4be9-8995-6b6e428ea429","eee273b4-a7c9-4366-aac8-bdf3dd3561c5","init","start","coach-ia",NULL,NULL,NULL,NULL
